extension_id,label,see_categories,manifest_version,permissions_count,has_host_permissions,host_permissions_count,has_content_scripts,has_holistic_match_pattern,match_pattern_scope,has_service_worker,has_background_page,sensitive_permissions_count,has_web_accessible_resources,has_externally_connectable,has_csp_declaration,has_update_url,content_script_count,has_file_match_pattern,has_all_frames,content_script_run_at,has_dnr_rules_file,has_redirect_rules,dnr_rule_count,has_optional_host_permissions,optional_permissions_count,has_cookies_permission,has_history_permission,has_tabs_permission,has_bookmarks_permission,has_topSites_permission,has_browsingData_permission,has_downloads_permission,has_geolocation_permission,has_webRequest_permission,has_webRequestBlocking_permission,has_debugger_permission,has_management_permission,has_activeTab_permission,has_clipboardRead_permission,has_clipboardWrite_permission,has_contentSettings_permission,has_privacy_permission,has_proxy_permission,has_nativeMessaging_permission,has_webNavigation_permission,has_declarativeNetRequest_permission,has_offscreen_permission,has_fileBrowserHandler_permission,js_file_count,total_js_size_bytes,fetch_api_count,xhr_api_count,http_api_total_count,has_external_url_in_js,external_domain_count,has_runtime_sendMessage,has_onMessage_listener,has_eval_or_function,has_websocket,has_sendBeacon,has_cookies_getAll,has_cookies_get,has_document_cookie,has_formdata,has_blob,has_arraybuffer,has_setInterval,has_setTimeout,has_json_stringify,has_btoa,has_downloads_onCreated,has_downloads_cancel,has_downloads_download,has_tabs_create,has_declarativeNetRequest_js,outbound_request_count,unauthorized_domain_count,sends_user_data,has_periodic_sync,is_sw_initiated,is_cs_initiated,see_behavior_detected,cookies_stolen,redirect_detected,download_hijacked
Roblox+__jfbnmfgkohlfclfnplnlenbalpppohkm_v3.27.0,0,"UProf,LF",3,4,True,3,True,False,2,True,False,0,True,False,False,True,13,False,False,2,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,6223851,96,0,129,True,45,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,0,4,False,False,False,True,True,False,True,False
Rocket Sender_ WARocket Tool__ihbbifgcppfejeobcljahinddoplnohi_v4.40.0,0,UProf,3,1,True,3,True,False,2,True,False,0,True,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,172419,3,1,8,True,8,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,2,3,False,False,True,True,True,False,False,False
RocketReach Chrome Extension__oiecklaabeielolbliiddlbokpfnmhba_v3.0.72,0,"UReq,UProf",3,4,True,1,True,True,3,True,False,1,True,True,False,True,1,False,False,2,False,False,0,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,562084,6,0,22,True,13,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
RoEarn_ Custom Avatar Creator & Cashback__fooenmopnfaejehogdbmegaleanpdcea_v3.10.1,0,"UProf,LF,CE",3,3,True,2,True,False,2,True,False,0,True,False,False,True,6,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36,7558582,155,7,226,True,76,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,2,20,False,False,True,True,True,False,True,False
RoGold - Level Up Roblox__mafcicncghogpdpaieifglifaagndbni_v1.8.2,0,UProf,3,4,True,2,True,False,2,True,False,1,True,False,False,True,1,False,True,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9,1344883,18,2,87,True,42,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,0,4,False,False,False,True,True,False,True,False
RoSeal - Augmented Roblox Experience__hfjngafpndganmdggnapblamgbfjhnof_v2.1.56 (Gaia),0,"UProf,CE",3,4,True,2,True,False,2,True,False,2,True,False,False,True,3,False,True,1,True,False,7,True,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4189829,8,7,154,True,56,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,0,12,False,False,False,True,True,False,False,False
RoValra - Roblox Improved__njcickgebhnpgmoodjdgohkclfplejli_v2.5.3,0,"UProf,LF,HH",3,3,True,4,True,False,2,True,False,3,True,False,False,True,3,False,True,1,True,True,3,False,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,6,6033526,25,12,248,True,54,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,0,4,False,False,False,True,True,False,True,False
RSS Feed Reader__pnjaodmkngahhkoihejjehlcdlnohgmp_v8.0.28,0,"UReq,UProf,CE,HH",3,10,True,2,True,True,3,True,False,3,True,False,False,True,3,False,True,3,False,False,0,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,18,4895968,21,7,143,True,59,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False,False,True,True,3,9,False,False,True,True,True,False,False,False
Ruffle - Flash Emulator__donbcfbmhbcapadipfkeojnmajbakjdc_v0.3.0-nightly.2026.5.26,0,"UReq,UProf",3,3,True,1,True,True,3,True,False,0,True,False,True,True,1,False,True,1,True,False,1,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,1712280,10,0,46,True,17,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,0,0,False,False,False,True,False,False,False,False
Saladict - Pop-up Dictionary__cdonnmffkdaoajfknoeeecmchibpmkmg_v7.22.3,0,"UReq,UProf,LF,CE",3,11,True,1,True,True,3,True,False,6,True,False,False,True,2,False,True,3,False,False,0,False,2,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,129,9907964,22,25,131,True,150,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,0,0,False,False,False,True,True,False,True,False
Save Emails as PDF by cloudHQ__dngbhajancmfmdnmhhdknhooljkddgnk_v1.1.2.23,0,UProf,3,3,True,2,True,False,2,True,False,0,True,True,False,True,2,False,False,2,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,6253306,36,33,286,True,66,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,0,5,False,False,False,True,True,False,False,False
Save to Cosmos__mgjneceglphcpbbfbhjplkpgfapebmdg_v6.14.3,0,"UProf,CE",3,6,True,2,True,False,2,True,False,2,True,False,False,True,1,False,False,1,False,False,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7,1535036,7,26,79,True,21,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,5,4,True,False,True,True,True,False,False,False
Save to Pinterest__gpdjojdkbbmdfjfahjcgigfpmkopogic_v6.13.0,0,"UReq,UProf,CE,HH",3,5,True,2,True,True,3,True,False,3,True,False,True,True,1,False,False,3,True,False,1,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,996250,3,0,10,True,15,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,0,0,False,False,False,True,True,False,True,False
Scholarcy Browser Extension__oekgknkmgmaehhpegfeioenikocgbcib_v5.4.0,0,"UReq,UProf,CE",3,3,True,1,True,True,3,True,False,2,False,False,False,True,1,False,False,3,False,False,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,1374384,37,0,42,True,18,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
